person_id,make,rank
8278,Maserati,A
8278,Volvo,C
8278,Mazda,B
8278,Lexus,C
8278,Toyota,C
8591,Genesis,B
8591,Toyota,B
8591,Lexus,B
8591,Maserati,A
8591,Volvo,C
8591,Hyundai,B
8591,Mazda,B
12162,Maserati,A
12162,Mazda,B
12162,Volvo,C
17974,Genesis,B
5314,Lexus,C
5314,Mazda,B
5314,Volvo,C
5314,Hyundai,B
5314,Maserati,A
5314,Audi,C
5314,Genesis,B
5314,Toyota,C
8046,Hyundai,A+
8046,Maserati,A
8046,Genesis,A+
8046,Volvo,A
8046,Toyota,A+
8046,Audi,A
8046,Lexus,A+
8046,Volkswagen,A
8046,Mazda,A
4542,Volkswagen,B
4542,Toyota,C
4542,Maserati,A
4542,Mazda,B
4542,Lexus,C
4542,Hyundai,B
4542,Genesis,B
4542,Volvo,C
15128,Toyota,A
15128,Volvo,C
15128,Lexus,A
13409,Volvo,B
13409,Maserati,A
13409,Genesis,B
13409,Lexus,C
13409,Toyota,C
13409,Mazda,B
13409,Hyundai,B
5234,Volvo,C
5234,Audi,B
5234,Volkswagen,A
16240,Toyota,C
16240,Lexus,C
8285,Volvo,C
8285,Toyota,B
8285,Lexus,B
8285,Mazda,B
8285,Audi,B
8285,Maserati,A
16929,Toyota,B
8045,Genesis,B
8045,Audi,C
8045,Toyota,B
8045,Lexus,B
8045,Volvo,B
8045,Maserati,A
8045,Hyundai,B
8045,Mazda,B
1475,Maserati,A
1475,Lexus,A
1475,Volkswagen,A
1475,Toyota,A
1475,Hyundai,A
1475,Mazda,A
1475,Audi,A
1475,Volvo,A+
1475,Genesis,A
1296,Maserati,A
1296,Toyota,B
1296,Volvo,C
1296,Mazda,B
1296,Hyundai,B
1296,Audi,A
1296,Genesis,B
1296,Volkswagen,A
1296,Lexus,B
15324,Lexus,A
15324,Hyundai,B
15324,Volvo,A
15324,Audi,C
15324,Genesis,B
15324,Volkswagen,A
15324,Toyota,A
15324,Mazda,A
1353,Genesis,A+
1353,Maserati,A+
1353,Toyota,A+
1353,Lexus,A+
1353,Audi,C
1353,Hyundai,A+
1353,Volvo,A+
1353,Volkswagen,A
1353,Mazda,A+
11550,Volvo,B
11550,Maserati,A
11550,Toyota,B
11550,Mazda,B
11550,Audi,C
11550,Lexus,B
5891,Genesis,B
5891,Volvo,C
5891,Volkswagen,B
5891,Mazda,C
5891,Lexus,B
5891,Maserati,C
5891,Toyota,B
5891,Hyundai,B
16202,Lexus,A
16202,Toyota,A
16202,Hyundai,A
16202,Volkswagen,A
16202,Genesis,B
16202,Mazda,A
885,Genesis,B
885,Hyundai,B
885,Mazda,B
885,Maserati,A
885,Lexus,B
885,Toyota,B
1743,Genesis,B
1743,Toyota,B
1743,Maserati,A
1743,Volvo,C
1743,Lexus,B
1743,Mazda,A+
1743,Hyundai,B
10006,Mazda,B
10006,Maserati,A
10006,Toyota,B
10006,Lexus,B
4359,Maserati,A
1610,Lexus,B
1610,Toyota,C
1610,Volvo,C
3280,Maserati,A+
3280,Toyota,A+
3280,Lexus,A+
14603,Lexus,B
14603,Toyota,B
4365,Maserati,A
14775,Toyota,C
14775,Lexus,C
14181,Lexus,B
14181,Maserati,A
14181,Toyota,B
14623,Lexus,B
5235,Maserati,A
1080,Maserati,A
1080,Toyota,B
1271,Toyota,B
1271,Volvo,B
1271,Maserati,A
5304,Maserati,A
14256,Toyota,B
14256,Hyundai,A
14256,Maserati,A
7534,Lexus,B
7534,Volkswagen,C
7534,Volvo,A
7534,Toyota,B
7534,Hyundai,B
7534,Mazda,B
1706,Maserati,A
1706,Audi,C
1706,Lexus,B
1706,Toyota,B
4243,Maserati,A
2679,Hyundai,A+
2679,Audi,C
2679,Toyota,A+
2726,Maserati,A
2679,Genesis,A+
2726,Toyota,A
2726,Audi,C
2679,Lexus,A+
2679,Maserati,A
14254,Maserati,A
14254,Lexus,B
14254,Audi,C
14254,Toyota,B
14190,Maserati,A
14190,Toyota,B
14190,Audi,C
14180,Toyota,B
14180,Maserati,A
14180,Lexus,B
1862,Toyota,B
1862,Maserati,A
2533,Audi,C
2533,Genesis,A+
2533,Maserati,A
2533,Hyundai,B
14188,Lexus,B
14188,Toyota,B
14188,Maserati,A
14283,Toyota,B
14257,Toyota,B
14191,Lexus,B
14191,Toyota,B
9783,Toyota,B
9783,Lexus,B
14790,Volkswagen,Pending
14790,Toyota,C
14790,Lexus,B
14189,Maserati,A
14189,Lexus,B
14189,Toyota,B
838,Toyota,A
838,Hyundai,A+
838,Lexus,A
838,Audi,C
838,Volkswagen,A
838,Mazda,A
838,Maserati,A+
838,Genesis,A+
838,Volvo,A+
1078,Genesis,A
1078,Hyundai,A
1078,Maserati,A
82,Maserati,A
17327,Audi,B
17327,Volvo,B
15560,Genesis,B
15560,Audi,C
15560,Volkswagen,B
15560,Mazda,B
15560,Toyota,B
