vin,person_id,start_day,office,make,model,rank,eligibility_ok,availability_ok,start_day_ok,geo_office_match,short_model_class,powertrain
00000000CHASVW1D4,10761,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,B,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,1126,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,A,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,1129,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,B,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,12348,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,A,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,12379,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,A,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,12439,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,A+,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,12775,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,A,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,13042,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,A,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,13065,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,B,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,1372,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,A,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,13866,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,A,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,13985,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,B,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,1402,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,A,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,14409,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,B,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,14550,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,A,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,14924,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,C,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,1601,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,B,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,16690,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,B,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,1679,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,B,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,17947,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,Pending,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,1840,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,B,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,18740,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,B,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,1952,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,A,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,235,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,A,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,2365,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,A,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,237,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,B,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,2440,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,B,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,2699,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,B,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,2947,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,A,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,299,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,B,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,3400,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,B,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,341,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,A,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,4056,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,A,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,4084,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,B,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,4124,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,B,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,4145,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,B,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,4235,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,A,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,4283,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,B,True,True,True,True,Sedan,Gas
00000000CHASVW1D4,4932,2025-09-22,Los Angeles,Volkswagen,ID.4 1st Edition,B,True,True,True,True,Sedan,Gas
