person_id,office,preferred_day,confidence,total_loans,preferred_day_count,weighted_count,confidence_bin
2600,Miami,Wednesday,1.0,5,5,10.0,90-100%
17840,Phoenix,Wednesday,1.0,21,21,42.0,90-100%
9207,Miami,Thursday,1.0,11,11,22.0,90-100%
2395,Dallas,Thursday,1.0,10,10,20.0,90-100%
2357,San Francisco,Wednesday,1.0,6,6,12.0,90-100%
6117,Charlotte,Thursday,1.0,6,6,12.0,90-100%
1913,Dallas,Wednesday,1.0,7,7,14.0,90-100%
6762,Detroit,Thursday,1.0,8,8,16.0,90-100%
18059,Atlanta,Thursday,1.0,5,5,10.0,90-100%
17878,Dallas,Thursday,1.0,11,11,22.0,90-100%
17769,Chicago,Tuesday,1.0,13,13,25.0,90-100%
2981,Dallas,Thursday,1.0,14,14,28.0,90-100%
17327,Charlotte,Thursday,1.0,14,14,28.0,90-100%
5029,Denver,Monday,1.0,5,5,10.0,90-100%
14601,Phoenix,Wednesday,1.0,17,17,34.0,90-100%
1670,Detroit,Friday,1.0,11,11,22.0,90-100%
14780,Dallas,Thursday,1.0,11,11,22.0,90-100%
8285,Atlanta,Wednesday,1.0,17,17,34.0,90-100%
1623,San Francisco,Tuesday,1.0,24,24,47.0,90-100%
15646,Phoenix,Wednesday,1.0,15,15,30.0,90-100%
13004,Charlotte,Thursday,1.0,21,21,42.0,90-100%
13626,Charlotte,Thursday,1.0,12,12,24.0,90-100%
5627,Dallas,Monday,1.0,13,13,26.0,90-100%
5150,Seattle,Tuesday,1.0,19,19,38.0,90-100%
3035,Charlotte,Thursday,1.0,5,5,10.0,90-100%
4945,Miami,Thursday,1.0,8,8,16.0,90-100%
4194,Miami,Wednesday,1.0,18,18,36.0,90-100%
489,Dallas,Thursday,1.0,20,20,40.0,90-100%
3184,Dallas,Thursday,1.0,19,19,38.0,90-100%
4552,Phoenix,Thursday,1.0,6,6,12.0,90-100%
739,Phoenix,Wednesday,0.975,40,39,78.0,90-100%
8560,Denver,Monday,0.9743589743589743,39,38,76.0,90-100%
1907,Dallas,Monday,0.9714285714285714,35,34,68.0,90-100%
15742,Miami,Tuesday,0.9655172413793104,29,28,56.0,90-100%
704,Seattle,Tuesday,0.9649122807017544,29,28,55.0,90-100%
563,Seattle,Friday,0.9629629629629629,27,26,52.0,90-100%
8236,Detroit,Friday,0.9615384615384616,52,50,100.0,90-100%
7459,Detroit,Wednesday,0.9615384615384616,26,25,50.0,90-100%
2835,Detroit,Wednesday,0.9615384615384616,52,50,100.0,90-100%
1752,Denver,Tuesday,0.9607843137254902,26,25,49.0,90-100%
569,Seattle,Friday,0.96,25,24,48.0,90-100%
16722,Phoenix,Wednesday,0.96,25,24,48.0,90-100%
5415,Dallas,Tuesday,0.9574468085106383,24,23,45.0,90-100%
3766,Seattle,Tuesday,0.9574468085106383,24,23,45.0,90-100%
2970,Detroit,Friday,0.9574468085106383,47,45,90.0,90-100%
4304,New York,Tuesday,0.956989247311828,47,45,89.0,90-100%
17131,Chicago,Wednesday,0.9565217391304348,23,22,44.0,90-100%
14653,Dallas,Monday,0.9545454545454546,22,21,42.0,90-100%
14682,Miami,Tuesday,0.9523809523809523,42,40,80.0,90-100%
7394,Dallas,Monday,0.95,40,38,76.0,90-100%
16555,Chicago,Thursday,0.9473684210526315,19,18,36.0,90-100%
